"filename", "language", "TypeScript JSX", "TypeScript", "JSON with Comments", "JavaScript", "Markdown", "JSON", "PostCSS", "Python", "HTML", "XML", "comment", "blank", "total"
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\luxury\ScrollReveal.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 30
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\luxury\TrustMetrics.tsx", "TypeScript JSX", 171, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 199
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\components\luxury\WhyChooseUs.tsx", "TypeScript JSX", 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 106
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\constants.ts", "TypeScript", 0, 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 186
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\context\ThemeContext.tsx", "TypeScript JSX", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 44
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\context\UIContext.tsx", "TypeScript JSX", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 99
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\declarations.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\extract_colors.py", "Python", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\firebase.json", "JSON", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\hooks\useAboutPage.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 75
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\hooks\useCompanyData.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 59
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\hooks\useGallery.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\hooks\useImages.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 39
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\hooks\usePageHeaders.ts", "TypeScript", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 66
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\hooks\useProjects.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\hooks\useServices.ts", "TypeScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 63
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\hooks\useTestimonials.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\hooks\useUsers.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 40, 61, 401
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 4, 6, 149
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\index.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\lib\firebase.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\manifest.json", "JSON", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 71
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\metadata.json", "JSON", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\offline.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 1, 80
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\package-lock.json", "JSON", 0, 0, 0, 0, 0, 3300, 0, 0, 0, 0, 0, 1, 3301
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\package.json", "JSON", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\pages\AITools.tsx", "TypeScript JSX", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 101
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\pages\About.tsx", "TypeScript JSX", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 94
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\pages\AdminDashboard.tsx", "TypeScript JSX", 1786, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 101, 1922
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\pages\AdminLogin.tsx", "TypeScript JSX", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 155
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\pages\Contact.tsx", "TypeScript JSX", 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19, 280
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\pages\Gallery.tsx", "TypeScript JSX", 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 122
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\pages\Home.tsx", "TypeScript JSX", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 18, 284
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\pages\Projects.tsx", "TypeScript JSX", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 157
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\pages\Services.tsx", "TypeScript JSX", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 87
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 67
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\public\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 1, 46
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\service-worker.js", "JavaScript", 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 10, 98
"c:\Users\divya\Downloads\sonu-enterprises-&-building-developers\tsconfig.json", "JSON with Comments", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
